,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
306,La Villa Hotel,US$47,US$44,7.1 km from centre,Review score,6.4,29 reviews
307,SR Hotel Seoul Magok,,US$105,12.5 km from centre,Very good,8.0,286 reviews
308,Lotte Hotel Seoul,,US$321,350 m from centre,Fabulous,8.6,"1,111 reviews"
309,Hotel RU136,US$65,US$62,7.1 km from centre,Fabulous,8.7,29 reviews
310,Sunnyhill Hostel Hongdae,,US$58,5.3 km from centre,Very good,8.5,114 reviews
311,DW STAY HONGDAE,,US$56,5.2 km from centre,Very good,8.5,50 reviews
312,Lotte Hotel World,,US$331,11.9 km from centre,Very good,8.4,708 reviews
313,Shilla Stay Samsung,US$223,US$174,9.2 km from centre,Good,7.6,783 reviews
314,Mini Hotel Insa,US$109,US$104,1.5 km from centre,Very good,8.3,156 reviews
315,Imperial Palace Boutique Hotel,,US$98,3.3 km from centre,Good,7.8,708 reviews
316,"THE PLAZA Seoul, Autograph Collection",,US$278,400 m from centre,Fabulous,8.6,311 reviews
317,OPPA Hostel,,US$39,3.8 km from centre,Exceptional,9.5,9 reviews
318,IBC Hotel Dongdaemun,,US$93,3.9 km from centre,Very good,8.3,76 reviews
319,Hao Guesthouse in Hongdae - Foreigner only,,US$73,4.4 km from centre,Exceptional,9.5,77 reviews
320,Ellen House,US$56,US$53,3.8 km from centre,Good,7.9,35 reviews
321,Arirang Hill Hotel Dongdaemun,US$172,US$163,4.7 km from centre,Fabulous,8.6,948 reviews
322,24 Guesthouse Myeongdong Avenue,US$78,US$74,300 m from centre,Good,7.8,117 reviews
323,Jongno Dongdaemun Lumia Hotel,US$70,US$67,3.9 km from centre,Very good,8.2,25 reviews
324,neat house hongdae,US$66,US$63,5.5 km from centre,Superb,9.2,12 reviews
325,Nine Tree Premier Hotel Insadong,,US$147,1.4 km from centre,Fabulous,8.6,"1,891 reviews"
326,Nine Tree Premier Hotel Myeongdong 2,,US$156,0.9 km from centre,Fabulous,8.8,"2,504 reviews"
327,Ramada Hotel and Suites Seoul Namdaemun,US$315,US$149,0.8 km from centre,Review score,6.5,47 reviews
328,Oslo Motel,,US$41,7.8 km from centre,Review score,5.5,28 reviews
329,Hotel Park Habio,US$110,US$105,15.4 km from centre,Good,7.3,134 reviews
330,Marriott Executive Apartment Seoul,,US$279,7.1 km from centre,Fabulous,8.8,184 reviews
331,Hill House Myeongdong,,US$72,0.6 km from centre,Good,7.5,61 reviews
332,Solaria Nishitetsu Hotel Seoul Myeongdong,US$195,US$164,350 m from centre,Fabulous,8.8,533 reviews
333,Dream Guesthouse,US$94,US$89,0.6 km from centre,Very good,8.5,162 reviews
334,Sejong Hotel Seoul Myeongdong,,US$132,0.6 km from centre,Good,7.9,574 reviews
335,Roynet Hotel Seoul Mapo,,US$129,3.7 km from centre,Fabulous,8.7,73 reviews
336,Conrad Seoul,,US$412,6.3 km from centre,Very good,8.5,"1,532 reviews"
337,Hostel CLEO Seoul Hongdae,,US$79,4.8 km from centre,Fabulous,8.6,126 reviews
338,Fairmont Ambassador Seoul,,US$385,6.1 km from centre,Very good,8.5,208 reviews
339,MJ Stay 2nd,US$78,US$74,0.9 km from centre,Very good,8.2,92 reviews
340,Orakai Daehakro Hotel,US$149,US$142,2.2 km from centre,Fabulous,8.7,620 reviews
341,24 Guesthouse Myeongdong Town,US$52,US$49,350 m from centre,Good,7.7,61 reviews
342,Zizel Signity Seocho,US$101,US$96,8.8 km from centre,Very good,8.0,1 review
343,Henn na Hotel Seoul Myeongdong,US$255,US$136,0.6 km from centre,Fabulous,8.8,"1,000 reviews"
344,Hotel RU136,US$65,US$62,7.1 km from centre,Fabulous,8.7,29 reviews
345,Y's house,US$70,US$67,5.2 km from centre,Fabulous,8.9,171 reviews
346,Must Stay Hotel Myeongdong,,US$37,0.6 km from centre,Review score,5.2,10 reviews
347,Niagara Hotel,,US$73,9.2 km from centre,Good,7.1,42 reviews
348,Hotel 2.4,US$49,US$46,12.8 km from centre,Review score,6.8,106 reviews
349,24 Guesthouse Seoul City Hall,US$30,US$29,0.5 km from centre,Good,7.4,55 reviews
350,JW Marriott Hotel Seoul,,US$404,6.8 km from centre,Fabulous,8.7,470 reviews
351,The Blossom Yeonnam Guesthouse,US$53,US$51,5 km from centre,Superb,9.3,139 reviews
352,Lotte Hotel Seoul Executive Tower,,US$397,400 m from centre,Superb,9.0,270 reviews
353,24 Guesthouse Dongdaemun Market,US$46,US$43,2.7 km from centre,Review score,6.9,33 reviews
354,Hotel Cocomo,,US$54,10.9 km from centre,Very good,8.1,100 reviews
355,Maison Hostel,,US$101,2.3 km from centre,,,
356,Y.ROAD 135,US$78,US$74,9.2 km from centre,Good,7.6,83 reviews
357,STAY7 Myeongdong,,US$83,400 m from centre,Very good,8.0,423 reviews
358,Millennium Hilton Seoul,,US$379,0.9 km from centre,Very good,8.1,685 reviews
359,Hostel CLEO Seoul Hongdae,,US$79,4.8 km from centre,Fabulous,8.6,126 reviews
360,"Grand InterContinental Seoul Parnas, an IHG Hotel",,US$453,9.2 km from centre,Fabulous,8.9,661 reviews
361,Orakai Insadong Suites,US$356,US$338,1.3 km from centre,Fabulous,8.6,"2,261 reviews"
362,Bukchonmaru Hanok Guesthouse,US$180,US$171,2.4 km from centre,Superb,9.4,85 reviews
363,Hotel Thomas Myeongdong,,US$130,300 m from centre,Very good,8.4,597 reviews
364,Sweet Stay,US$86,US$82,2.1 km from centre,Fabulous,8.8,6 reviews
365,Hotel Mfelice,,US$75,13 km from centre,Very good,8.0,354 reviews
366,Beewon Guesthouse,US$59,US$56,1.7 km from centre,Very good,8.3,84 reviews
367,Ramada by Wyndham Seoul Dongdaemun,,US$88,1.9 km from centre,Very good,8.0,332 reviews
368,Sofitel Ambassador Seoul Hotel & Serviced Residences,,US$365,12.3 km from centre,Very good,8.5,345 reviews
369,Amanti Hotel Seoul,,US$200,5.5 km from centre,Very good,8.3,281 reviews
370,Hotel Cappuccino,,US$133,7.6 km from centre,Good,7.8,394 reviews
371,The Shilla Seoul,,US$567,2.2 km from centre,Fabulous,8.9,894 reviews
372,Le Méridien Seoul Myeongdong,,US$283,150 m from centre,Very good,8.3,4 reviews
373,StayB Hotel Myeongdong,,US$126,1 km from centre,Good,7.8,234 reviews
374,Bukchon Sosunjae Guesthouse,US$125,US$107,1.9 km from centre,Good,7.8,5 reviews
375,Mama Guesthouse Myeongdong,US$113,US$108,0.7 km from centre,Review score,5.9,15 reviews
376,Four Seasons Hotel Seoul,,US$601,1.1 km from centre,Superb,9.2,622 reviews
377,Gangnam Artnouveau City,,US$142,8.7 km from centre,Very good,8.2,134 reviews
378,HS House,,US$117,4.9 km from centre,Fabulous,8.7,7 reviews
379,Soo Song Guest House,US$78,US$74,1.2 km from centre,Fabulous,8.8,112 reviews
380,Karak Tourist Hotel,,US$72,14.3 km from centre,Good,7.0,16 reviews
381,Ramada by Wyndham Seoul Sindorim,US$115,US$99,10.5 km from centre,Fabulous,8.7,168 reviews
382,Courtyard By Marriott Seoul Times Square,,US$180,8.4 km from centre,Very good,8.3,562 reviews
383,Gangnam Boutique Hotel Sohsul,,US$73,8.9 km from centre,Good,7.9,134 reviews
384,Sohyundang Guesthouse,US$112,US$107,2 km from centre,Good,7.2,56 reviews
385,DW Design Residence,,US$108,5.3 km from centre,Very good,8.0,126 reviews
386,Hotel PJ Myeongdong,,US$146,1.3 km from centre,Very good,8.3,818 reviews
387,I House Chinchin,US$62,US$59,5.5 km from centre,Review score,4.4,4 reviews
388,Metro blue4ssangmoon,US$100,US$85,10.7 km from centre,,,
389,Oakwood Premier Coex Center,US$345,US$320,8.8 km from centre,Fabulous,8.8,233 reviews
390,Orakai Cheonggyesan Hotel,US$182,US$120,14.1 km from centre,Very good,8.5,452 reviews
391,Yeongdeungpo VIP Hotel,US$105,US$100,7.7 km from centre,Review score,5.0,8 reviews
392,Swiss Grand Hotel Seoul & Grand Suite,,US$114,5 km from centre,Good,7.5,255 reviews
393,Signiel Seoul,,US$756,12 km from centre,Superb,9.1,"1,131 reviews"
394,Grand Walkerhill Seoul,,US$210,11.4 km from centre,Very good,8.4,415 reviews
395,"Hotel Noblesse, Yeoksam",,US$56,8.3 km from centre,Review score,5.6,12 reviews
396,Dada Stay Hongdae,US$249,US$236,5 km from centre,Very good,8.2,27 reviews
397,L'Escape Hotel,,US$243,300 m from centre,Fabulous,8.7,577 reviews
398,Cullinan Gaepo,,US$139,11.1 km from centre,Review score,6.2,5 reviews
399,Kpop Haus,US$54,US$51,0.7 km from centre,Review score,6.7,13 reviews
400,Eugene Hanok Stay,US$141,US$133,3.6 km from centre,Exceptional,10,1 review
401,Seoul City Center Residence,US$96,US$92,1 km from centre,Superb,9.0,5 reviews
402,UH Suite The Jongno,,US$241,0.9 km from centre,Fabulous,8.8,16 reviews
403,Hans House,,US$64,1.9 km from centre,Superb,9.0,24 reviews
404,Hotel the Castle bangi 2nd,,US$133,12.4 km from centre,Review score,6.8,5 reviews
405,JW Marriott Dongdaemun Square Seoul,,US$344,2.6 km from centre,Very good,8.1,275 reviews
406,Grand Mercure Ambassador Hotel and Residences Seoul Yongsan,,US$312,3.7 km from centre,Fabulous,8.9,367 reviews
407,The Classic 500 Pentaz Executive Residence,"US$1,051",US$368,8.3 km from centre,Very good,8.3,357 reviews
408,Park Hyatt Seoul,,US$546,9.4 km from centre,Fabulous,8.7,344 reviews
409,UH Suite The Seoul,,US$352,1.3 km from centre,Very good,8.0,2 reviews
410,Chaehyodang Hanok Stay,,US$234,9.8 km from centre,Very good,8.5,6 reviews
411,Bias K-girl Guesthouse - Women only,US$133,US$89,5.6 km from centre,Exceptional,9.5,32 reviews
412,Hotel the Castle Jamsil-Sene,,US$126,10.5 km from centre,Good,7.6,27 reviews
413,Vista Walkerhill Seoul - formerly W Seoul,,US$308,11.5 km from centre,Fabulous,8.6,210 reviews
414,24 Guesthouse KyungHee University,,US$62,7.5 km from centre,Good,7.4,10 reviews
415,Hotel Tirol,,US$91,6.1 km from centre,Good,7.3,57 reviews
416,Couple Motel,US$31,US$30,12 km from centre,Review score,3.3,3 reviews
417,Bali Tourist Hotel,US$71,US$67,14 km from centre,Review score,3.8,4 reviews
418,Tranquilo paradise,US$245,US$233,9.2 km from centre,,,
419,Hotel TARA,US$162,US$154,8.8 km from centre,,,
420,Jeong House,US$962,US$914,4.7 km from centre,Superb,9.1,10 reviews
421,K-Guesthouse Myeongdong 1,US$56,US$53,200 m from centre,Good,7.6,46 reviews
422,Lombard House,US$343,US$326,5.8 km from centre,Good,7.2,32 reviews
423,Sophia Hanok Guesthouse,US$125,US$119,1.9 km from centre,Review score,6.8,7 reviews
424,Hotel WO Yongsan Station,US$109,US$103,4.5 km from centre,Review score,6.4,5 reviews
425,Bricks Hotel,,US$117,6.8 km from centre,Very good,8.0,1 review
426,Grammos Hotel,US$390,US$371,8.4 km from centre,Good,7.5,100 reviews
427,IRIRU Boutique Guesthouse - Hanok Korean traditional house,US$367,US$349,9.5 km from centre,Exceptional 10,,8 external reviews
428,Dongyoungjae Annex by BUTLER LEE - Hanok Korean traditional house,US$300,US$285,2.4 km from centre,Good,7.0,2 reviews
429,Hotel Cozy Myeongdong,,US$57,200 m from centre,Review score,6.2,22 reviews
430,Intercity Seoul Hotel,,US$63,12.9 km from centre,Review score,6.1,8 reviews
431,BS-Entire Serviced Residence & Home Concierge,,US$404,4.6 km from centre,Exceptional,10,2 reviews
432,Gugi Motel,US$84,US$80,12.4 km from centre,,,
433,B My Guesthouse,,US$59,450 m from centre,Very good,8.0,9 reviews
434,Gangnam Blanc,US$121,US$115,8.4 km from centre,Review score,4.3,4 reviews
435,Banyan Tree Club & Spa Seoul,,US$876,2.2 km from centre,Very good,8.2,352 reviews
436,Lovely House Hongdae,US$422,US$400,5 km from centre,Very good,8.2,9 reviews
437,Private Rooftop House Isu,US$169,US$160,8.6 km from centre,,,
438,Dangsan House,US$177,US$168,7.4 km from centre,Review score,3.0,1 review
439,Private Townhouse,US$209,US$198,8.6 km from centre,Review score,1.0,1 review
440,Soyunjae by BUTLER LEE -Hanok Korean traditional house,US$443,US$421,2.3 km from centre,,,
441,PPP Seoul,"US$7,807","US$7,417",5.4 km from centre,,,
442,Bricks Hotel,,US$117,6.8 km from centre,Very good,8.0,1 review
443,Grammos Hotel,US$390,US$371,8.4 km from centre,Good,7.5,100 reviews
444,IRIRU Boutique Guesthouse - Hanok Korean traditional house,US$367,US$349,9.5 km from centre,Exceptional 10,,8 external reviews
445,Dongyoungjae Annex by BUTLER LEE - Hanok Korean traditional house,US$300,US$285,2.4 km from centre,Good,7.0,2 reviews
446,Hotel Cozy Myeongdong,,US$57,200 m from centre,Review score,6.2,22 reviews
447,Intercity Seoul Hotel,,US$63,12.9 km from centre,Review score,6.1,8 reviews
448,BS-Entire Serviced Residence & Home Concierge,,US$404,4.6 km from centre,Exceptional,10,2 reviews
449,B My Guesthouse,,US$59,450 m from centre,Very good,8.0,
