,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
49,Kensington Resort Gapyeong,"BDT 46,929","BDT 22,057",,Review score,6.7,265 reviews
50,Walking Sky Pension,,"BDT 8,119",,Very good,8.4,115 reviews
51,Laviedor Resort,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""a1e1975f-bb36-4444-b0e5-d680f5814563"")>",,Review score,6.8,29 reviews
52,Hotel Gallery,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""95f88eb1-d0f1-4120-892f-fdf6150e2661"")>",,Good,7.5,22 reviews
53,Sodo Hotel,,"BDT 7,064",,,,
54,27 Hotel,,"BDT 5,907",,Review score,4.0,1 review
55,Ramada by Wyndham Dongtan,,"BDT 12,504",,Good,7.3,241 reviews
56,Q Hotel,,"BDT 4,060",,Good,7.0,64 reviews
57,SR Suites Bundang,"BDT 21,678","BDT 11,706",,Very good,8.5,204 reviews
58,Hotel Charlot Castle,,"BDT 5,939",,Good,7.0,38 reviews
59,Ramada Plaza by Wyndham Suwon,,"BDT 16,076",,Very good,8.3,289 reviews
60,Jbis Hotel,,"BDT 6,495",,Good,7.2,18 reviews
61,Namyangju Benikea JD Hotel,,"BDT 5,683",,Very good,8.4,58 reviews
62,Yangji Pine Resort,,"BDT 9,905",,Review score,6.3,12 reviews
63,Hotel Mate Bundang,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""de5e26eb-359a-45fc-ba8c-596f35c13cdc"")>",,Good,7.9,164 reviews
64,Astro Hotel,,"BDT 8,931",,Very good,8.3,53 reviews
65,Vella Suite Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""e68d16f2-b7d1-487f-953b-63afddf143dc"")>",,Very good,8.3,305 reviews
66,Gimpo Stavia,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""5c02c73a-c661-45a4-ba2f-5b8375c9507b"")>",,Fabulous,8.6,31 reviews
67,Embledon Hotel,,"BDT 8,688",,Good,7.5,49 reviews
68,Jarasum Guest House,,"BDT 4,466",,Fabulous,8.7,70 reviews
69,Apple Drive-in Hotel,,"BDT 5,278",,Very good,8.0,1 review
70,Osan GOYO 37 Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""0c272818-5bfe-4770-9c14-8e6ea9c26df4"")>",,Good,7.1,40 reviews
