,0,1,2,3,4,5,6,7,8,9,10,11
54,,55,"TrueUSD
TUSD",$1.00,0.1%,0.2%,-0.0%,"$34,870,454","$756,737,520",,,
55,,56,"Chiliz
CHZ",$0.137600,0.4%,-8.3%,-18.1%,"$181,247,643","$734,435,163",,,
56,,57,"USDD
USDD",$0.979861,0.1%,0.7%,-0.3%,"$70,900,642","$711,166,841",,,
57,,58,"Decentraland
MANA",$0.382015,0.2%,-4.6%,-7.2%,"$40,204,723","$693,585,903",,,
58,,59,"BitTorrent
BTT",$0.000000675481,0.4%,-1.5%,-3.5%,"$17,478,508","$640,466,140",,,
59,,60,"KuCoin
KCS",$6.56,-0.0%,-1.7%,0.7%,"$692,770","$638,938,428",,,
60,,61,"PancakeSwap
CAKE",$3.95,0.2%,-1.3%,-1.3%,"$29,714,131","$625,412,047",,,
61,,62,"Zcash
ZEC",$45.88,1.0%,0.7%,0.1%,"$51,300,762","$601,366,566",,,
62,,63,"Gemini Dollar
GUSD",$1.00,0.0%,0.1%,0.0%,"$470,682","$596,699,823",,,
63,,64,"cUSDC
CUSDC",$0.02276072,0.1%,0.1%,0.1%,$54.94,"$588,934,350",,,
64,,65,"Fantom
FTM",$0.231533,0.3%,-3.7%,-4.6%,"$86,827,234","$587,935,557",,,
65,,66,"Aptos
APT",$4.49,0.4%,-7.4%,-14.2%,"$55,975,172","$583,647,282",,,
66,,67,"IOTA
MIOTA",$0.202068,-0.5%,-3.8%,-5.3%,"$8,595,653","$561,626,261",,,
67,,68,"WhiteBIT Token
WBT",$4.70,0.3%,-0.2%,-2.7%,"$7,598,106","$561,496,503",,,
68,,69,"Tokenize Xchange
TKX",$6.99,0.1%,-1.5%,-9.2%,"$17,541,613","$558,834,928",,,
69,,70,"eCash
XEC",$0.00002877,-0.0%,-3.2%,-3.6%,"$5,919,605","$553,191,832",,,
70,,71,"Klaytn
KLAY",$0.180827,0.3%,-2.6%,-4.5%,"$22,781,513","$548,553,603",,,
71,,72,"Maker
MKR",$594.70,-0.1%,-2.8%,-8.5%,"$14,203,808","$536,005,506",,,
72,,73,"Gate
GT",$3.59,0.5%,0.1%,-0.6%,"$2,131,579","$521,842,848",,,
73,,74,"Dash
DASH",$47.13,1.2%,-0.1%,4.8%,"$74,329,480","$520,867,849",,,
74,,75,"NEO
NEO",$7.26,0.8%,0.8%,10.0%,"$61,980,747","$511,642,447",,,
75,,76,"The Graph
GRT",$0.067516,0.4%,-4.6%,5.2%,"$36,575,661","$498,887,886",,,
76,,77,"PAX Gold
PAXG","$1,789.88",0.1%,-0.2%,0.0%,"$11,605,975","$485,739,720",,,
77,,78,"GMX
GMX",$56.68,0.8%,2.1%,6.5%,"$33,595,489","$470,448,246",,,
78,,79,"Osmosis
OSMO",$0.916520,0.6%,-7.3%,-7.4%,"$26,937,062","$454,274,009",,,
79,,80,"Synthetix Network
SNX",$1.85,-0.0%,-5.3%,4.3%,"$21,129,778","$444,391,662",,,
80,,81,"Arweave
AR",$8.74,0.4%,-1.7%,-6.3%,"$19,137,707","$438,164,641",,,
81,,82,"Tether Gold
XAUT","$1,726.79",0.2%,0.3%,0.6%,"$548,870","$426,181,324",,,
82,,83,"cDAI
CDAI",$0.02217069,-0.0%,0.1%,0.0%,$768,"$422,937,116",,,
83,,84,"Mina Protocol
MINA",$0.547032,0.3%,-2.6%,-5.7%,"$9,991,853","$421,519,285",,,
84,,85,"THORChain
RUNE",$1.40,0.5%,-2.2%,1.0%,"$35,687,939","$419,938,383",,,
85,,86,"Frax Share
FXS",$5.80,0.6%,-3.6%,17.4%,"$5,032,055","$419,118,129",,,
86,,87,"cETH
CETH",$25.17,0.0%,-1.7%,-2.1%,$38.57,"$418,454,372",,,
87,,88,"Stacks
STX",$0.302750,0.7%,0.9%,20.2%,"$109,644,764","$408,367,318",,,
88,,89,"Curve DAO
CRV",$0.615248,1.1%,-4.1%,-8.4%,"$38,922,892","$399,714,001",,,
89,,90,"Rocket Pool
RPL",$20.09,-0.0%,0.1%,-2.4%,"$1,325,030","$380,738,162",,,
90,,91,"BTSE Token
BTSE",$2.34,0.1%,-2.0%,-15.0%,"$56,494","$379,011,256",,,
91,,92,"Radix
XRD",$0.03761832,0.2%,-5.3%,6.2%,"$797,904","$377,771,776",,,
92,,93,"EthereumPoW
ETHW",$3.52,0.3%,-4.9%,-13.5%,"$12,113,196","$377,420,471",,,
93,,94,"NEXO
NEXO",$0.661869,1.2%,-3.3%,-4.1%,"$5,126,286","$369,920,120",,,
94,,95,"Zilliqa
ZIL",$0.02177382,0.2%,-3.5%,-5.4%,"$20,717,062","$368,310,708",,,
95,,96,"OKC
OKT",$20.56,1.4%,-2.1%,15.4%,"$4,701,275","$367,680,724",,,
96,,97,"Ethereum Name Service
ENS",$13.09,0.7%,-4.6%,-7.1%,"$20,452,555","$337,429,885",,,
97,,98,"Basic Attention
BAT",$0.221604,0.6%,-2.6%,-5.5%,"$18,579,144","$330,338,294",,,
98,,99,"BitDAO
BIT",$0.307768,0.7%,-1.3%,-0.0%,"$7,587,852","$330,210,727",,,
99,,100,"1inch
1INCH",$0.426289,0.5%,-4.8%,-14.9%,"$19,076,327","$324,918,205",,,
100,,101,"Casper Network
CSPR",$0.02937221,-1.4%,-2.6%,-3.3%,"$4,249,536","$311,101,705",,,
101,,102,"ImmutableX
IMX",$0.421665,0.1%,-4.3%,-16.5%,"$5,823,097","$308,179,218",,,
102,,103,"Loopring
LRC",$0.242569,0.3%,-2.1%,-5.5%,"$27,173,614","$302,299,944",,,
103,,104,"Decred
DCR",$20.74,0.3%,-4.2%,-3.6%,"$1,383,952","$302,086,910",,,
104,,105,"DeFiChain
DFI",$0.478891,0.2%,-1.6%,-0.3%,"$3,327,746","$301,421,872",,,
105,,106,"Enjin Coin
ENJ",$0.298849,0.4%,-3.7%,-4.8%,"$12,908,576","$298,669,150",,,
106,,107,"NEM
XEM",$0.03294210,-0.1%,-1.4%,-0.7%,"$10,285,733","$296,465,214",,,
107,,108,"Kava
KAVA",$0.973989,14.9%,10.6%,1.6%,"$25,356,351","$294,239,139",,,
108,,109,"Holo
HOT",$0.00165382,0.3%,-2.6%,-4.7%,"$13,023,119","$293,239,022",,,
109,,110,"XDC Network
XDC",$0.02100529,-0.4%,-4.3%,-5.1%,"$3,080,179","$290,500,855",,,
110,,111,"Terra
LUNA",$1.61,-0.1%,-3.0%,-2.7%,"$24,221,243","$280,398,499",,,
