148.72.246.227:9453
16.163.140.80:80
202.44.228.122:8081
5.153.234.91:3128
34.121.210.98:3128
45.177.55.102:999
166.104.231.44:8888
101.32.184.53:3128
217.28.41.156:8080
138.121.55.239:8080
103.48.68.35:82
211.222.3.1:8080
200.13.22.210:80
143.244.133.78:80
134.238.252.143:8080
45.156.29.13:9090
103.231.241.102:80
186.166.138.51:999
87.255.200.108:60080
201.91.82.155:3128
158.69.53.98:9300
157.92.32.83:8080
194.145.138.183:9090
190.110.99.183:999
45.171.144.226:8083
5.189.184.6:80
177.222.179.106:8080
109.86.182.203:3128
51.159.115.233:3128
102.134.127.15:8080
118.173.230.246:8080
186.3.0.164:999
41.242.116.150:50000
103.195.200.12:80
80.211.62.167:3128
8.219.97.248:80
51.79.50.46:9300
118.38.92.156:80
154.16.180.182:3128
200.106.187.247:999
138.121.55.241:8080
91.214.31.234:8080
187.188.17.138:1994
186.3.38.213:999
210.179.58.236:80
63.250.53.181:3128
187.73.188.35:8080
198.11.179.220:80
50.233.42.98:51696
112.87.140.163:9443
93.63.75.99:8080
105.112.191.250:3128
61.100.4.222:80
80.252.5.34:7001
190.60.39.195:999
112.87.140.163:9401
52.34.209.170:8888
79.142.95.90:55443
185.20.198.250:8080
118.38.92.156:8080
198.41.34.67:8080
157.100.53.110:999
103.154.237.106:8080
66.42.53.233:8000
112.106.145.190:80
66.29.156.100:80
152.32.148.233:3128
47.252.4.64:8888
142.93.219.22:8080
185.110.190.167:9100
45.177.109.197:8080
